La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Th,Nb,Y ,Hf,Ta,U ,Pb,Rb,Cs,Sr,Sc,Zr
6.61,15.98,2.42,12.03,3.67,1.58,4.43,0.77,4.86,1.02,2.69,0.39,2.36,0.37,233.76,0.48,4.67,24.37,2.08,0.32,0.17,1.34,4.78,0.10,271.96,43.58,70.96
7.89,18.32,2.69,12.88,3.82,1.61,4.60,0.81,5.08,1.06,2.90,0.41,2.48,0.39,245.11,0.66,6.15,25.91,2.28,0.43,0.23,1.51,12.74,0.17,276.08,40.84,79.71
6.50,15.58,2.37,11.86,3.64,1.66,4.44,0.74,4.62,0.95,2.52,0.36,2.16,0.33,208.48,0.46,4.38,23.40,1.94,0.31,0.16,1.18,2.98,0.05,291.39,41.77,64.82
8.39,19.48,2.84,13.72,4.08,1.61,4.86,0.85,5.39,1.12,3.05,0.44,2.68,0.42,273.99,0.66,6.02,27.58,2.46,0.40,0.24,2.49,7.24,0.12,285.16,45.00,86.01
9.41,21.29,3.12,14.87,4.43,1.72,5.40,0.95,5.98,1.25,3.32,0.48,2.94,0.46,290.82,0.84,7.40,30.34,2.78,0.49,0.24,1.83,6.62,0.08,271.83,49.59,96.94
8.97,20.18,2.98,14.01,4.18,1.64,5.13,0.92,5.83,1.22,3.31,0.47,2.89,0.46,293.22,0.85,5.92,29.96,2.52,0.41,0.21,2.26,4.12,0.11,275.40,49.51,88.65
7.35,17.18,2.56,12.44,3.71,1.60,4.51,0.80,5.04,1.03,2.80,0.40,2.42,0.38,238.24,0.48,5.73,25.24,2.15,0.38,0.18,1.37,6.01,0.19,274.50,40.61,75.22
10.14,22.53,3.21,14.87,4.33,1.58,5.28,0.94,6.08,1.28,3.47,0.50,3.09,0.49,295.26,0.96,7.39,31.46,3.02,0.46,0.38,2.38,9.94,0.17,251.93,48.59,113.04
15.27,32.98,4.43,20.18,5.61,1.85,6.68,1.19,7.72,1.64,4.45,0.65,4.03,0.63,383.16,1.87,11.06,40.46,4.30,0.73,0.65,3.42,18.33,0.30,213.70,44.51,160.68
12.56,27.13,3.74,16.60,4.60,1.59,5.37,0.95,5.98,1.27,3.48,0.50,3.12,0.49,478.53,1.88,7.12,31.95,3.21,0.49,0.75,4.36,13.34,0.35,301.54,43.73,113.16
11.57,25.48,3.60,16.97,5.16,1.86,6.52,1.19,7.89,1.71,4.72,0.69,4.35,0.68,370.42,1.39,6.93,42.25,3.43,0.47,0.48,3.21,10.58,0.47,204.39,49.13,116.72
6.59,14.56,2.13,10.21,3.19,1.26,3.95,0.71,4.60,0.98,2.71,0.39,2.38,0.38,215.26,0.62,4.28,24.54,1.75,0.30,0.23,1.47,6.34,0.22,233.51,40.90,58.71
12.19,26.24,3.76,17.24,5.05,1.82,6.24,1.12,7.52,1.62,4.53,0.66,4.18,0.66,456.32,1.43,6.39,40.89,3.04,0.43,0.50,4.15,17.13,0.46,231.56,50.01,106.83
6.77,15.03,2.18,10.54,3.20,1.22,4.11,0.75,4.81,1.02,2.81,0.41,2.51,0.40,191.17,0.69,4.83,25.72,2.14,0.34,0.26,1.67,5.89,0.17,246.99,45.78,76.57
8.88,19.50,2.87,13.80,4.16,1.53,5.22,0.95,6.15,1.31,3.63,0.53,3.27,0.52,256.95,0.88,5.77,32.97,2.75,0.39,0.30,2.23,8.00,0.23,228.41,49.35,96.91
11.31,24.91,3.53,16.16,4.83,1.73,6.04,1.10,7.36,1.59,4.50,0.66,4.21,0.67,378.53,1.33,6.31,40.22,3.01,0.44,0.54,3.59,16.12,0.57,225.03,49.66,103.81
4.88,11.10,1.63,7.77,2.56,1.01,3.27,0.62,4.11,0.89,2.43,0.36,2.21,0.35,158.79,0.45,3.18,21.98,1.65,0.21,0.16,1.09,3.95,0.05,203.14,44.39,57.23
10.04,22.50,3.18,14.89,4.50,1.61,5.55,1.02,6.71,1.38,3.85,0.56,3.49,0.54,280.02,1.06,6.86,35.12,3.10,0.45,0.36,2.40,5.28,0.20,232.67,52.10,111.04
7.09,16.99,2.56,12.57,3.80,1.61,4.54,0.81,5.08,1.05,2.79,0.40,2.47,0.38,260.48,0.56,5.09,25.94,2.16,0.34,0.21,1.54,3.39,0.21,289.84,42.62,75.31
2.86,6.80,1.04,5.35,1.86,0.79,2.58,0.51,3.30,0.73,2.05,0.30,1.87,0.30,83.38,0.24,1.70,18.27,1.16,0.12,0.09,0.76,2.90,0.24,170.21,37.82,37.23
2.82,6.73,1.05,5.30,1.87,0.81,2.58,0.51,3.39,0.72,2.02,0.30,1.91,0.30,87.34,0.23,1.69,18.29,1.15,0.13,0.09,1.05,3.42,0.22,165.41,37.54,37.38
2.75,6.53,1.01,5.21,1.84,0.77,2.53,0.49,3.33,0.72,2.03,0.29,1.86,0.29,72.62,0.23,1.64,17.82,1.13,0.12,0.09,0.82,2.45,0.25,175.81,36.67,36.44
3.25,7.53,1.13,5.74,1.97,0.84,2.67,0.52,3.52,0.76,2.13,0.31,1.94,0.30,102.13,0.30,1.92,18.92,1.22,0.14,0.12,0.89,4.26,0.22,181.63,40.26,40.06
