La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Th,Nb,Y,Hf,Ta,U,Pb,Rb,Cs,Sr,Sc ,Zr
27.61,61.53,8.83,41.86,10.21,4.64,10.75,1.56,9.1,1.83,4.82,0.69,4.05,0.66,2280,3.91,8.41,49.24,3.61,0.59,1.45,7.6,37.6,1.1,299,34.4,135
12.83,30.15,3.95,16.87,3.82,1.3,4.17,0.66,3.97,0.82,2.29,0.35,2.15,0.35,246,1.8,7.68,21.87,3.5,0.51,0.6,5.45,8.3,0.9,363,19.8,139
27.87,61.87,8.83,41.42,10.09,3.86,10.85,1.6,9.49,1.93,5.09,0.75,4.48,0.7,2339,4.45,8.47,52.1,4.22,0.59,1.73,6.98,37.3,1.67,409,38.1,155
10.31,24.23,3.46,16.74,4.54,1.68,5.3,0.87,5.42,1.13,3.13,0.47,2.95,0.47,370,0.91,5.83,30.78,2.54,0.38,0.32,2.43,6.4,0.2,314,36.3,97
26.22,60.01,8.75,42.63,10.58,4.68,11.68,1.66,9.59,1.93,5,0.7,4.12,0.65,3121,3.55,8.04,51.16,3.51,0.62,1.39,6.06,33.3,0.68,388,40,128
27.56,61.68,8.89,41.93,10.01,4.7,10.96,1.58,9.14,1.85,4.79,0.69,4.06,0.63,2391,3.78,8.36,49.3,3.64,0.58,1.43,7.28,34.6,1.24,309,35.2,134
19.2,44.04,5.86,25.01,5.18,1.67,5,0.78,4.52,0.94,2.51,0.36,2.31,0.37,360,1.5,10.48,25.19,3.37,0.62,0.49,2.26,5.4,0.07,619,28,137
18.19,40.38,5.5,23.32,4.93,1.58,4.83,0.75,4.34,0.89,2.39,0.35,2.17,0.35,429,1.36,9.61,24.46,3.12,0.58,0.45,2.26,6.8,0.14,640,28.1,126
28.35,63.39,8.93,42.77,10.16,4.34,10.94,1.6,9.3,1.88,4.84,0.7,4.2,0.66,2098,4.15,8.93,49.65,3.78,0.59,1.57,7.99,44.8,1.44,284,34,142
26.81,60.26,8.59,40.22,9.62,3.68,10.34,1.55,9.07,1.88,4.92,0.73,4.3,0.68,2020,4.36,8.43,50.04,4.06,0.58,1.61,6.92,42.8,1.6,388,36.8,153
26.72,59.68,8.49,40.11,9.6,3.66,10.35,1.55,9.12,1.88,4.96,0.73,4.33,0.69,2043,4.41,8.38,49.74,4.06,0.56,1.67,7.65,41.9,1.66,389,36.6,151
26.85,59.62,8.44,39.96,9.65,3.63,10.45,1.55,9.03,1.85,4.88,0.71,4.33,0.66,2050,4.52,8.47,49.98,4.1,0.56,1.68,7.11,43.4,1.7,389,36.6,151
27,60.59,8.58,40.08,9.7,3.69,10.51,1.58,9.25,1.87,4.97,0.73,4.33,0.69,2074,4.49,8.59,50.6,4.18,0.59,1.71,7.04,42.6,1.68,390,37.6,154
26.77,59.67,8.55,40.22,9.54,3.8,10.37,1.55,9.01,1.84,4.89,0.72,4.29,0.68,2438,4.31,8.2,49.64,4.03,0.56,1.59,6.87,40.6,1.58,389,36.7,148
26.96,60.4,8.61,40.66,9.78,3.83,10.63,1.58,9.2,1.87,4.95,0.72,4.36,0.69,2250,4.38,8.29,50.22,4.11,0.6,1.62,7.59,40.4,1.54,390,37,151
26.79,59.71,8.47,39.88,9.54,3.64,10.39,1.53,9.08,1.85,4.82,0.71,4.3,0.67,2037,4.26,8.22,49.45,4.01,0.54,1.58,6.69,39.8,1.08,380,36.6,151
20.58,45.07,5.18,20.3,4.32,1.19,4.4,0.72,4.49,0.95,2.67,0.41,2.59,0.42,495,5.06,11.52,27.63,5.9,0.83,1.52,9.94,16.9,0.39,386,12.1,233
24.71,53.75,6.54,26.56,5.81,1.5,5.86,0.96,5.8,1.21,3.43,0.51,3.19,0.5,509,4.58,10.74,34.15,5.51,0.75,1.52,9.4,51.7,2.06,267,12,216
28.11,62.27,8.86,41.83,10.07,4.6,10.72,1.55,9.06,1.84,4.81,0.7,4.13,0.66,2184,4.01,8.62,49.36,3.7,0.58,1.5,7.71,36.7,0.98,287,33,137
27.92,61.95,8.87,41.63,10.11,4.54,10.72,1.56,9.03,1.81,4.78,0.68,4.1,0.66,2126,4.05,8.71,49.23,3.66,0.58,1.49,7.78,37.9,0.8,277,32.9,138
26.75,59.72,8.56,40.41,9.69,3.79,10.43,1.55,9.05,1.82,4.88,0.7,4.3,0.67,2290,4.3,8.14,49.52,4.07,0.55,1.56,6.92,35.8,1.09,375,36.4,150
26.67,59.76,8.5,40.12,9.59,3.7,10.45,1.54,9.09,1.84,4.85,0.72,4.3,0.69,2344,4.28,8.12,49.22,4.04,0.61,1.58,6.76,39.5,1.06,378,36.5,149
26.64,59.84,8.52,40.06,9.54,3.71,10.44,1.56,9.05,1.87,4.93,0.71,4.33,0.67,2158,4.29,8.06,49.69,4.07,0.55,1.58,6.86,37.5,0.91,373,36.1,149
